Client Order ID,Instrument,Side,Price,Quantity
aaa211,Lotus,1,3.54,720
aaa212,Orchid,2,37.22,840
aaa213,Lavender,2,85.39,80
aaa214,Tulip,1,82.13,420
aaa215,Orchid,1,85.30,330
aaa216,Rose,2,72.73,790
aaa217,Tulip,1,84.18,540
aaa218,Lavender,1,29.01,640
aaa219,Lavender,2,9.11,610
aaa220,Tulip,2,84.61,840
aaa221,Tulip,1,84.35,670
aaa222,Lotus,2,52.14,580
aaa223,Lotus,2,65.38,70
aaa224,Tulip,1,30.17,520
aaa225,Lavender,2,58.22,60
aaa226,Lavender,2,38.89,410
aaa227,Lavender,1,95.50,300
aaa228,Lotus,2,61.14,690
aaa229,Orchid,1,13.00,630
aaa230,Tulip,2,95.12,770
aaa231,Orchid,2,11.86,260
aaa232,Tulip,2,26.44,470
aaa233,Lotus,1,37.94,690
aaa234,Orchid,1,39.67,930
aaa235,Lotus,2,83.16,710
aaa236,Rose,2,35.68,460
aaa237,Orchid,2,90.71,600
aaa238,Orchid,2,53.02,400
aaa239,Tulip,2,62.87,220
aaa240,Rose,1,20.38,430
aaa241,Lotus,2,34.90,660
aaa242,Orchid,2,93.39,370
aaa243,Rose,1,29.56,130
aaa244,Tulip,2,9.43,320
aaa245,Rose,2,96.77,610
aaa246,Lavender,1,8.11,330
aaa247,Tulip,2,35.13,480
aaa248,Tulip,1,57.77,180
aaa249,Rose,2,20.42,230
aaa250,Rose,1,42.75,70
aaa251,Rose,1,11.39,540
aaa252,Rose,1,23.52,960
aaa253,Lotus,2,39.22,530
aaa254,Tulip,2,40.63,60
aaa255,Tulip,2,33.77,650
aaa256,Lotus,1,27.49,580
aaa257,Rose,1,79.70,80
aaa258,Lotus,1,70.25,530
aaa259,Tulip,1,53.93,290
aaa260,Tulip,2,37.14,460
aaa261,Lotus,2,80.75,340
aaa262,Lotus,1,40.04,890
aaa263,Rose,1,61.80,320
aaa264,Rose,1,14.16,370
aaa265,Lavender,2,58.13,400
aaa266,Lavender,1,70.47,630
aaa267,Tulip,2,57.70,970
aaa268,Tulip,1,22.44,80
aaa269,Orchid,1,54.98,790
aaa270,Lotus,2,50.11,390
aaa271,Lotus,2,37.13,50
aaa272,Lotus,2,60.98,610
aaa273,Rose,1,60.85,720
aaa274,Orchid,2,34.22,840
aaa275,Lotus,2,44.62,640
aaa276,Tulip,2,87.77,760
aaa277,Tulip,2,5.78,980
aaa278,Orchid,2,78.19,850
aaa279,Orchid,1,30.07,370
aaa280,Rose,1,27.34,710
aaa281,Lotus,2,10.21,80
aaa282,Lotus,1,83.21,710
aaa283,Lavender,1,47.32,370
aaa284,Rose,1,87.15,840
aaa285,Rose,1,67.39,490
aaa286,Rose,2,18.16,520
aaa287,Orchid,2,1.93,90
aaa288,Lotus,2,51.69,990
aaa289,Lavender,1,69.61,220
aaa290,Lavender,1,93.89,220
aaa291,Tulip,1,65.17,230
aaa292,Rose,1,51.20,90
aaa293,Tulip,1,13.01,30
aaa294,Orchid,1,41.49,570
aaa295,Orchid,1,55.50,360
aaa296,Tulip,1,63.06,900
aaa297,Rose,2,81.33,610
aaa298,Lavender,1,8.53,950
aaa299,Orchid,1,29.10,600
aaa300,Lavender,1,27.82,70
aaa301,Lotus,1,89.00,220
aaa302,Orchid,2,12.00,790
aaa303,Orchid,2,29.55,320
aaa304,Tulip,2,49.15,530
aaa305,Rose,2,91.86,750
aaa306,Lotus,2,71.91,300
aaa307,Rose,1,81.79,120
aaa308,Tulip,2,13.04,80
aaa309,Rose,1,50.91,570
aaa310,Rose,2,30.72,540
aaa311,Rose,1,86.43,60
aaa312,Rose,2,29.78,430
aaa313,Rose,2,94.63,610
aaa314,Tulip,2,36.94,400
aaa315,Tulip,1,67.69,680
aaa316,Lotus,2,62.30,110
aaa317,Rose,2,12.96,40
aaa318,Lotus,2,20.19,630
aaa319,Lotus,1,14.86,550
aaa320,Orchid,1,74.05,710
aaa321,Tulip,1,61.26,450
aaa322,Tulip,2,4.74,310
aaa323,Lavender,1,42.81,780
aaa324,Rose,2,99.98,400
aaa325,Lavender,1,93.43,70
aaa326,Rose,1,42.52,690
aaa327,Rose,2,14.05,950
aaa328,Tulip,1,64.31,40
aaa329,Lotus,1,98.31,170
aaa330,Tulip,2,27.39,310
aaa331,Tulip,2,4.27,390
aaa332,Rose,2,76.52,930
aaa333,Tulip,2,31.60,280
aaa334,Orchid,1,22.35,410
aaa335,Lotus,1,33.05,460
aaa336,Lotus,2,19.02,580
aaa337,Rose,1,95.84,240
aaa338,Rose,2,69.24,580
aaa339,Rose,1,89.33,990
aaa340,Lavender,1,92.80,340
aaa341,Tulip,1,1.53,840
aaa342,Lotus,2,8.94,760
aaa343,Rose,1,40.34,220
aaa344,Lavender,1,80.43,300
aaa345,Lotus,2,43.48,310
aaa346,Lotus,2,93.80,20
aaa347,Lavender,1,10.62,280
aaa348,Orchid,1,17.66,410
aaa349,Orchid,1,5.19,590
aaa350,Lavender,2,99.78,70
aaa351,Lavender,2,28.98,760
aaa352,Lavender,2,69.82,390
aaa353,Lavender,1,44.96,600
aaa354,Tulip,1,82.71,590
aaa355,Orchid,2,5.99,810
aaa356,Tulip,2,76.65,900
aaa357,Rose,1,73.93,580
aaa358,Tulip,1,19.86,550
aaa359,Rose,2,36.06,10
aaa360,Lavender,1,54.20,320
aaa361,Orchid,1,82.90,270
aaa362,Orchid,1,73.00,50
aaa363,Rose,2,73.72,600
aaa364,Rose,2,94.55,770
aaa365,Orchid,1,36.95,950
aaa366,Tulip,2,2.63,930
aaa367,Lotus,2,56.96,760
aaa368,Orchid,2,30.50,110
aaa369,Orchid,2,98.67,250
aaa370,Lavender,2,62.90,380
aaa371,Rose,1,67.12,200
aaa372,Lotus,2,46.63,490
aaa373,Lavender,2,77.45,290
aaa374,Orchid,1,82.51,780
aaa375,Tulip,2,70.57,880
aaa376,Orchid,2,92.55,150
aaa377,Tulip,1,93.88,450
aaa378,Lavender,1,35.28,770
aaa379,Rose,1,6.01,720
aaa380,Lotus,1,40.99,410
aaa381,Lavender,1,40.53,430
aaa382,Rose,2,46.67,950
aaa383,Orchid,2,21.25,280
aaa384,Lotus,1,47.04,830
aaa385,Lotus,1,78.37,580
aaa386,Lotus,1,27.73,310
aaa387,Rose,2,29.47,490
aaa388,Rose,1,25.87,460
aaa389,Tulip,2,3.66,720
aaa390,Lavender,1,48.22,200
aaa391,Orchid,2,9.13,620
aaa392,Lavender,1,33.92,630
aaa393,Rose,1,99.97,950
aaa394,Orchid,1,53.08,420
aaa395,Lotus,1,95.93,980
aaa396,Lotus,1,73.86,0
aaa397,Lotus,2,43.18,120
aaa398,Tulip,1,83.40,170
aaa399,Lotus,1,88.49,440
aaa400,Orchid,1,0.36,740
aaa401,Lotus,2,80.38,240
aaa402,Lavender,1,78.73,720
aaa403,Lavender,2,46.25,280
aaa404,Orchid,1,13.22,290
aaa405,Tulip,1,19.42,850
aaa406,Orchid,1,56.22,650
aaa407,Lavender,2,5.76,670
aaa408,Tulip,2,4.21,280
aaa409,Orchid,2,33.93,310
aaa410,Lotus,1,82.57,190
aaa411,Orchid,1,72.69,10
aaa412,Tulip,2,78.14,160
aaa413,Tulip,2,0.56,960
aaa414,Orchid,2,66.09,140
aaa415,Lavender,1,37.14,50
aaa416,Rose,2,96.07,920
aaa417,Rose,1,80.73,620
aaa418,Lavender,1,2.47,890
aaa419,Lotus,1,62.06,100
aaa420,Tulip,1,35.68,10
aaa421,Tulip,2,94.14,940
aaa422,Rose,1,30.95,440
aaa423,Rose,2,23.67,90
aaa424,Orchid,1,99.54,560
aaa425,Orchid,1,81.17,90
aaa426,Lotus,1,82.92,850
aaa427,Orchid,1,46.79,360
aaa428,Rose,2,9.02,860
aaa429,Lavender,1,11.74,590
aaa430,Lotus,1,60.35,940
aaa431,Rose,1,59.13,600
aaa432,Tulip,1,95.49,410
aaa433,Lotus,1,27.94,100
aaa434,Lotus,1,93.07,780
aaa435,Orchid,1,2.59,20
aaa436,Tulip,2,63.96,460
aaa437,Lotus,1,91.09,620
aaa438,Lavender,1,9.20,480
aaa439,Lavender,1,81.68,180
aaa440,Orchid,1,27.04,970
aaa441,Tulip,1,78.04,340
aaa442,Rose,1,15.79,220
aaa443,Tulip,1,11.08,480
aaa444,Lavender,2,58.26,750
aaa445,Lotus,2,58.72,660
aaa446,Lotus,2,52.27,100
aaa447,Tulip,2,35.98,200
aaa448,Rose,2,93.27,210
aaa449,Orchid,2,96.88,140
aaa450,Orchid,2,23.16,920
aaa451,Lavender,2,81.62,150
aaa452,Lotus,1,37.28,530
aaa453,Tulip,2,59.29,490
aaa454,Rose,1,67.43,140
aaa455,Lavender,2,35.41,820
aaa456,Lavender,1,64.97,300
aaa457,Rose,2,16.36,430
aaa458,Rose,2,97.38,370
aaa459,Tulip,1,99.49,840
aaa460,Lavender,2,66.43,480
aaa461,Orchid,2,27.51,390
aaa462,Lavender,1,27.41,30
aaa463,Lotus,2,10.34,510
aaa464,Rose,2,77.74,150
aaa465,Rose,1,49.20,890
aaa466,Rose,2,19.32,430
aaa467,Tulip,1,34.70,770
aaa468,Rose,2,10.14,640
aaa469,Rose,2,45.97,710
aaa470,Orchid,2,58.77,820
aaa471,Rose,2,91.26,790
aaa472,Rose,2,4.41,260
aaa473,Rose,1,91.39,120
aaa474,Lotus,1,93.46,870
aaa475,Tulip,2,59.02,800
aaa476,Lavender,1,44.39,480
aaa477,Orchid,2,82.78,690
aaa478,Lotus,2,96.82,270
aaa479,Orchid,1,17.10,690
aaa480,Lotus,1,35.58,480
aaa481,Tulip,1,68.30,350
aaa482,Lavender,1,74.49,130
aaa483,Lotus,2,50.76,190
aaa484,Tulip,1,8.95,850
aaa485,Tulip,2,67.04,0
aaa486,Lavender,2,63.48,640
aaa487,Rose,1,75.31,130
aaa488,Orchid,1,48.32,570
aaa489,Tulip,1,40.60,350
aaa490,Rose,2,50.02,620
aaa491,Orchid,1,67.15,920
aaa492,Tulip,2,97.01,740
aaa493,Tulip,1,89.26,340
aaa494,Tulip,2,56.31,100
aaa495,Tulip,2,51.15,940
aaa496,Rose,1,51.51,350
aaa497,Orchid,2,37.31,970
aaa498,Lotus,1,94.84,360
aaa499,Orchid,1,28.30,310
aaa500,Orchid,1,21.24,650
aaa501,Lotus,1,68.67,20
aaa502,Lavender,2,70.51,170
aaa503,Lavender,2,58.82,140
aaa504,Rose,1,31.17,270
aaa505,Rose,2,28.00,990
aaa506,Lavender,2,37.47,310
aaa507,Tulip,2,19.64,280
aaa508,Tulip,1,1.59,40
aaa509,Rose,2,87.72,270
aaa510,Rose,2,60.49,400
aaa511,Orchid,1,9.95,140
aaa512,Rose,1,48.83,570
aaa513,Lotus,2,56.39,30
aaa514,Rose,2,8.43,320
aaa515,Rose,1,1.69,140
aaa516,Rose,1,82.44,40
aaa517,Tulip,2,38.25,70
aaa518,Rose,2,69.58,450
aaa519,Rose,2,41.28,480
aaa520,Lavender,1,98.27,40
aaa521,Lotus,2,38.03,680
aaa522,Orchid,1,25.33,510
aaa523,Tulip,1,19.51,140
aaa524,Orchid,2,29.07,490
aaa525,Orchid,1,1.07,410
aaa526,Tulip,1,96.26,710
aaa527,Orchid,2,11.25,40
aaa528,Lavender,2,88.88,450
aaa529,Tulip,2,68.01,970
aaa530,Tulip,2,77.46,780
aaa531,Tulip,2,98.02,950
aaa532,Orchid,1,73.62,230
aaa533,Lavender,2,51.24,560
aaa534,Orchid,1,16.52,460
aaa535,Tulip,2,26.92,40
aaa536,Lavender,2,48.52,560
aaa537,Tulip,2,44.38,830
aaa538,Orchid,2,79.85,70
aaa539,Lotus,1,32.56,260
aaa540,Orchid,1,50.04,590
aaa541,Rose,2,37.05,780
aaa542,Orchid,1,19.01,310
aaa543,Tulip,2,39.44,110
aaa544,Tulip,2,90.62,270
aaa545,Orchid,2,29.07,330
aaa546,Lavender,2,2.56,50
aaa547,Lavender,2,42.09,860
aaa548,Lotus,2,71.63,720
aaa549,Rose,1,21.12,100
aaa550,Tulip,1,95.95,860
aaa551,Tulip,1,62.42,160
aaa552,Lavender,2,31.87,780
aaa553,Orchid,2,70.18,240
aaa554,Orchid,1,76.89,800
aaa555,Rose,2,61.38,980
aaa556,Orchid,2,55.49,380
aaa557,Lotus,1,54.77,620
aaa558,Tulip,1,19.38,390
aaa559,Lavender,1,25.94,740
aaa560,Orchid,2,77.56,640
aaa561,Tulip,2,29.13,550
aaa562,Tulip,2,45.56,560
aaa563,Rose,2,14.24,830
aaa564,Tulip,1,78.25,790
aaa565,Lavender,1,85.06,250
aaa566,Tulip,2,92.89,450
aaa567,Tulip,2,6.09,360
aaa568,Lotus,1,54.19,440
aaa569,Lotus,1,65.61,510
aaa570,Lotus,2,11.64,750
aaa571,Tulip,1,59.13,960
aaa572,Lotus,1,70.96,50
aaa573,Tulip,2,76.31,270
aaa574,Lotus,2,31.75,840
aaa575,Tulip,2,11.85,200
aaa576,Lotus,1,29.59,400
aaa577,Tulip,1,76.44,230
aaa578,Rose,2,96.29,640
aaa579,Orchid,1,28.74,990
aaa580,Lavender,1,6.29,480
aaa581,Tulip,2,8.25,490
aaa582,Lavender,2,30.87,90
aaa583,Rose,1,20.76,460
aaa584,Lavender,1,42.59,680
aaa585,Lotus,1,44.39,620
aaa586,Lavender,2,3.08,140
aaa587,Lotus,1,71.77,760
aaa588,Tulip,2,3.30,480
aaa589,Lotus,2,66.35,430
aaa590,Lotus,1,29.16,560
aaa591,Lotus,1,84.54,90
aaa592,Rose,1,8.84,840
aaa593,Rose,2,77.15,420
aaa594,Tulip,1,80.29,590
aaa595,Lavender,1,82.76,750
aaa596,Rose,2,78.72,340
aaa597,Rose,1,87.63,140
aaa598,Lotus,2,93.15,170
aaa599,Tulip,1,57.48,320
aaa600,Lavender,2,28.34,400
aaa601,Rose,2,13.48,100
aaa602,Tulip,1,38.84,190
aaa603,Orchid,1,13.14,620
aaa604,Lavender,2,77.72,530
aaa605,Rose,2,49.31,130
aaa606,Lotus,1,27.40,340
aaa607,Lotus,1,16.25,740
aaa608,Lotus,1,89.55,200
aaa609,Tulip,1,62.50,640
aaa610,Rose,1,89.48,50
aaa611,Lotus,2,62.69,430
aaa612,Tulip,1,22.26,330
aaa613,Lotus,1,94.66,0
aaa614,Orchid,2,36.40,80
aaa615,Tulip,1,85.47,550
aaa616,Lavender,1,22.23,380
aaa617,Rose,1,16.08,170
aaa618,Tulip,2,42.62,700
aaa619,Rose,2,17.14,930
aaa620,Lavender,1,24.81,610
aaa621,Lavender,1,54.15,120
aaa622,Tulip,1,91.88,670
aaa623,Orchid,2,82.06,570
aaa624,Rose,2,33.19,670
aaa625,Rose,1,55.66,20
aaa626,Orchid,2,41.32,960
aaa627,Lotus,2,23.90,160
aaa628,Lavender,2,55.37,80
aaa629,Rose,1,27.95,510
aaa630,Orchid,2,20.14,620
aaa631,Orchid,2,12.96,800
aaa632,Lavender,2,83.72,550
aaa633,Tulip,1,11.89,820
aaa634,Orchid,1,59.18,270
aaa635,Lotus,1,61.10,210
aaa636,Tulip,1,2.03,570
aaa637,Orchid,2,81.09,600
aaa638,Rose,1,63.95,70
aaa639,Lotus,2,49.37,860
aaa640,Rose,2,42.94,610
aaa641,Lavender,2,40.02,450
aaa642,Tulip,1,68.37,100
aaa643,Lavender,2,33.33,480
aaa644,Rose,2,39.71,950
aaa645,Rose,1,74.80,30
aaa646,Orchid,1,5.81,150
aaa647,Lavender,1,73.90,0
aaa648,Lavender,1,9.23,760
aaa649,Rose,1,61.12,970
aaa650,Orchid,1,15.30,780
aaa651,Tulip,2,73.62,610
aaa652,Tulip,2,62.51,760
aaa653,Lavender,1,22.83,50
aaa654,Rose,2,74.82,690
aaa655,Lavender,1,57.28,400
aaa656,Tulip,1,70.78,700
aaa657,Rose,2,87.55,760
aaa658,Rose,1,7.54,620
aaa659,Lotus,1,95.76,270
aaa660,Orchid,2,60.79,330
aaa661,Orchid,1,10.52,490
aaa662,Lotus,2,16.66,110
aaa663,Tulip,2,40.43,500
aaa664,Lotus,2,37.50,180
aaa665,Rose,2,20.81,250
aaa666,Lotus,1,59.38,590
aaa667,Orchid,1,15.39,470
aaa668,Lotus,1,5.47,930
aaa669,Lotus,1,7.03,60
aaa670,Rose,1,15.31,980
aaa671,Tulip,2,93.75,890
aaa672,Orchid,2,87.03,860
aaa673,Rose,1,60.90,250
aaa674,Lotus,1,63.78,540
aaa675,Lavender,1,81.38,470
aaa676,Rose,2,11.26,610
aaa677,Tulip,2,55.02,120
aaa678,Lavender,1,14.31,280
aaa679,Orchid,2,43.51,290
aaa680,Lotus,1,15.73,60
aaa681,Rose,1,88.00,470
aaa682,Orchid,1,32.36,560
aaa683,Orchid,1,73.14,370
aaa684,Tulip,2,98.91,270
aaa685,Orchid,2,45.14,100
aaa686,Lotus,2,47.92,30
aaa687,Tulip,2,79.54,780
aaa688,Lavender,1,60.31,230
aaa689,Lotus,2,92.54,230
aaa690,Lavender,1,81.32,510
aaa691,Lotus,1,2.21,470
aaa692,Lavender,1,83.24,530
aaa693,Orchid,1,8.42,820
aaa694,Rose,1,67.50,580
aaa695,Orchid,2,46.21,330
aaa696,Lavender,2,44.26,910
aaa697,Lavender,1,75.75,150
aaa698,Lotus,2,45.38,550
aaa699,Lavender,1,68.07,560
aaa700,Rose,1,94.24,30
aaa701,Rose,1,62.00,220
aaa702,Lotus,2,33.45,880
aaa703,Tulip,1,59.07,640
aaa704,Orchid,1,94.05,210
aaa705,Orchid,1,22.20,200
aaa706,Lavender,2,18.23,310
aaa707,Orchid,2,48.21,220
aaa708,Tulip,1,46.42,170
aaa709,Lavender,2,57.37,40
aaa710,Rose,2,81.63,330
aaa711,Rose,1,88.53,330
aaa712,Orchid,1,77.02,760
aaa713,Orchid,2,89.63,210
aaa714,Rose,1,71.11,300
aaa715,Rose,2,30.68,650
aaa716,Tulip,2,30.55,470
aaa717,Orchid,2,41.11,570
aaa718,Lavender,1,10.29,140
aaa719,Lotus,2,50.35,840
aaa720,Rose,2,15.60,470
aaa721,Rose,2,66.86,630
aaa722,Tulip,2,61.35,750
aaa723,Lotus,1,55.55,740
aaa724,Lavender,1,82.32,510
aaa725,Orchid,2,3.45,890
aaa726,Lotus,1,68.77,140
aaa727,Orchid,2,25.86,860
aaa728,Tulip,1,3.78,160
aaa729,Rose,2,59.99,0
aaa730,Orchid,1,0.53,970
aaa731,Rose,1,95.84,970
aaa732,Rose,1,87.08,970
aaa733,Tulip,2,2.15,770
aaa734,Rose,1,2.16,90
aaa735,Lotus,1,6.81,190
aaa736,Orchid,1,12.89,710
aaa737,Orchid,2,71.75,810
aaa738,Tulip,1,99.79,40
aaa739,Rose,1,33.48,120
aaa740,Lotus,2,43.65,810
aaa741,Orchid,2,71.60,480
aaa742,Tulip,2,90.55,470
aaa743,Lotus,2,11.58,120
aaa744,Rose,2,12.02,10
aaa745,Rose,2,49.88,90
aaa746,Orchid,2,92.26,510
aaa747,Lavender,1,10.04,150
aaa748,Lavender,1,57.89,730
aaa749,Tulip,1,99.53,810
aaa750,Lavender,2,37.83,620
aaa751,Tulip,2,27.10,120
aaa752,Lavender,2,90.48,170
aaa753,Lavender,1,24.91,360
aaa754,Orchid,1,47.72,840
aaa755,Rose,2,51.37,790
aaa756,Lavender,1,78.03,120
aaa757,Rose,2,77.97,730
aaa758,Lavender,1,45.06,580
aaa759,Orchid,2,50.23,980
aaa760,Lotus,2,87.95,910
aaa761,Tulip,1,99.67,640
aaa762,Lotus,1,86.61,950
aaa763,Lotus,1,70.21,410
aaa764,Lotus,2,86.01,230
aaa765,Tulip,1,34.42,540
aaa766,Tulip,2,39.12,260
aaa767,Lavender,2,52.22,660
aaa768,Lotus,1,21.32,420
aaa769,Lotus,2,18.32,270
aaa770,Tulip,1,14.26,410
aaa771,Orchid,1,97.30,410
aaa772,Lavender,1,56.63,140
aaa773,Tulip,1,14.71,460
aaa774,Lotus,1,66.84,460
aaa775,Lavender,1,63.97,300
aaa776,Tulip,1,27.80,760
aaa777,Lavender,1,96.94,340
aaa778,Orchid,1,48.96,510
aaa779,Rose,2,83.40,830
aaa780,Lavender,2,77.75,270
aaa781,Lotus,2,84.90,240
aaa782,Lavender,1,30.74,690
aaa783,Lotus,1,13.55,790
aaa784,Rose,2,60.03,330
aaa785,Lotus,1,74.93,190
